index,date,humidity,,,,,,,,,,,,,,
213,2/8/2014,68.5,,,,,,,,,,,,,,
214,3/8/2014,72.2,,,,,,,,,,,,,,
215,4/8/2014,73.8,,,,,,,,,,,,,,
216,5/8/2014,72.5,,,,,,,,,,,,,,
217,6/8/2014,65.9,,,,,,,,,,,,,,
218,7/8/2014,73,,,,,,,,,,,,,,
219,8/8/2014,76,,,,,,,,,,,,,,
220,9/8/2014,81.2,,,,,,,,,,,,,,
221,10/8/2014,84.8,,,,,,,,,,,,,,
222,11/8/2014,82.1,,,,,,,,,,,,,,
223,12/8/2014,79.1,,,,,,,,,,,,,,
224,13/8/2014,75.8,,,,,,,,,,,,,,
225,14/8/2014,72.6,,,,,,,,,,,,,,
226,15/8/2014,72.2,,,,,,,,,,,,,,
227,16/8/2014,68.4,,,,,,,,,,,,,,
228,17/8/2014,76.1,,,,,,,,,,,,,,
229,18/8/2014,79.3,,,,,,,,,,,,,,
230,19/8/2014,75.2,,,,,,,,,,,,,,
231,20/8/2014,69.8,,,,,,,,,,,,,,
232,21/8/2014,73.3,,,,,,,,,,,,,,
233,22/8/2014,68.7,,,,,,,,,,,,,,
234,23/8/2014,73.3,,,,,,,,,,,,,,
235,24/8/2014,69.9,,,,,,,,,,,,,,
236,25/8/2014,72.6,,,,,,,,,,,,,,
237,26/8/2014,84.1,,,,,,,,,,,,,,
238,27/8/2014,86.5,,,,,,,,,,,,,,
239,28/8/2014,81,,,,,,,,,,,,,,
240,29/8/2014,84.6,,,,,,,,,,,,,,
241,30/8/2014,72.9,,,,,,,,,,,,,,
242,31/8/2014,78.3,,,,,,,,,,,,,,
243,1/9/2014,84.5,,,,,,,,,,,,,,
244,2/9/2014,84,,,,,,,,,,,,,,
245,3/9/2014,76.8,,,,,,,,,,,,,,
246,4/9/2014,78.7,,,,,,,,,,,,,,
247,5/9/2014,77.8,,,,,,,,,,,,,,
248,6/9/2014,82.1,,,,,,,,,,,,,,
249,7/9/2014,79.7,,,,,,,,,,,,,,
250,8/9/2014,75.7,,,,,,,,,,,,,,
251,9/9/2014,78.1,,,,,,,,,,,,,,
252,10/9/2014,70.5,,,,,,,,,,,,,,
253,11/9/2014,68.6,,,,,,,,,,,,,,
254,12/9/2014,68.1,,,,,,,,,,,,,,
255,13/9/2014,69.3,,,,,,,,,,,,,,
256,14/9/2014,74.1,,,,,,,,,,,,,,
257,15/9/2014,85.1,,,,,,,,,,,,,,
258,16/9/2014,71.9,,,,,,,,,,,,,,
259,17/9/2014,62.3,,,,,,,,,,,,,,
260,18/9/2014,62.1,,,,,,,,,,,,,,
261,19/9/2014,70.1,,,,,,,,,,,,,,
262,20/9/2014,71.1,,,,,,,,,,,,,,
263,21/9/2014,85.1,,,,,,,,,,,,,,
264,22/9/2014,87,,,,,,,,,,,,,,
265,23/9/2014,87.3,,,,,,,,,,,,,,
266,24/9/2014,86.8,,,,,,,,,,,,,,
267,25/9/2014,78.3,,,,,,,,,,,,,,
268,26/9/2014,77.2,,,,,,,,,,,,,,
269,27/9/2014,82,,,,,,,,,,,,,,
270,28/9/2014,78.1,,,,,,,,,,,,,,
271,29/9/2014,81.2,,,,,,,,,,,,,,
272,30/9/2014,85.7,,,,,,,,,,,,,,
273,1/10/2014,75.6,,,,,,,,,,,,,,
274,2/10/2014,83,,,,,,,,,,,,,,
275,3/10/2014,75,,,,,,,,,,,,,,
276,4/10/2014,74.4,,,,,,,,,,,,,,
277,5/10/2014,85.1,,,,,,,,,,,,,,
278,6/10/2014,85.6,,,,,,,,,,,,,,
279,7/10/2014,87.9,,,,,,,,,,,,,,
280,8/10/2014,82.8,,,,,,,,,,,,,,
281,9/10/2014,79.5,,,,,,,,,,,,,,
282,10/10/2014,76.3,,,,,,,,,,,,,,
283,11/10/2014,74.5,,,,,,,,,,,,,,
284,12/10/2014,84.5,,,,,,,,,,,,,,
285,13/10/2014,75.5,,,,,,,,,,,,,,
